"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","NDRS main","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Skin cancer","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Skin cancer","24","Age-specific","63.6","40.8","94.7",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Skin cancer","48","Age-specific","239.7","176.7","317.8",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Skin cancer","93","Age-specific","530.8","428.4","650.3",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Skin cancer","221","Age-specific","1344.4","1173","1533.9",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000144","Broadland","Skin cancer","262","Age-specific","2610.1","2303.6","2946",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Skin cancer","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Skin cancer","26","Age-specific","78.6","51.4","115.2",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Skin cancer","42","Age-specific","305.2","219.9","412.5",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Skin cancer","77","Age-specific","764.8","603.5","955.9",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Skin cancer","181","Age-specific","2278.4","1958.6","2635.7",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000095","Broxbourne","Skin cancer","190","Age-specific","3757.2","3241.9","4331.1",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Skin cancer","1","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Skin cancer","33","Age-specific","57.5","39.6","80.8",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Skin cancer","45","Age-specific","303.6","221.4","406.2",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Skin cancer","83","Age-specific","805.2","641.3","998.2",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Skin cancer","137","Age-specific","1828.4","1535","2161.4",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000008","Cambridge","Skin cancer","138","Age-specific","2824.4","2372.8","3336.9",NA
2022,"Persons","00 to 24","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Skin cancer","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Persons","25 to 49","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Skin cancer","23","Age-specific","91.8","58.2","137.7",NA
2022,"Persons","50 to 59","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Skin cancer","65","Age-specific","509.9","393.5","650",NA
2022,"Persons","60 to 69","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Skin cancer","95","Age-specific","865.4","700.1","1057.9",NA
2022,"Persons","70 to 79","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Skin cancer","224","Age-specific","1984.4","1733","2262",NA
2022,"Persons","80 and over","Local Authority Unitary Authories (LAUA)","E07000069","Castle Point","Skin cancer","244","Age-specific","3841.9","3374.9","4355.5",NA
