"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
"2022","Persons","25 to 49","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","14","Non-standardised","3.9","2.1","6.5",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","90","Non-standardised","68.5","55.1","84.2",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","52","Non-standardised","39.6","29.6","51.9",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","7","Non-standardised","5.3","2.1","11",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectum","31","Non-standardised","23.6","16","33.5",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Breast","All Breast","166","Non-standardised","126.3","107.8","147.1",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","All Lung","50","Non-standardised","38.1","28.2","50.2",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Non-small cell lung cancer","42","Non-standardised","32","23","43.2",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Small cell lung cancer","8","Non-standardised","6.1","2.6","12",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","All Skin cancer","326","Non-standardised","248.1","221.9","276.5",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","BCC","239","Non-standardised","181.9","159.6","206.5",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Melanoma","41","Non-standardised","31.2","22.4","42.3",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Rare","5","Non-standardised","3.8","1.2","8.9",NA
"2022","Persons","50 to 59","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","41","Non-standardised","31.2","22.4","42.3",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","113","Non-standardised","114.4","94.3","137.6",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","72","Non-standardised","72.9","57","91.8",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","6","Non-standardised","6.1","2.2","13.2",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectum","35","Non-standardised","35.4","24.7","49.3",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Breast","All Breast","177","Non-standardised","179.2","153.8","207.7",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","All Lung","137","Non-standardised","138.7","116.5","164",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Non-small cell lung cancer","122","Non-standardised","123.5","102.6","147.5",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Small cell lung cancer","15","Non-standardised","15.2","8.5","25.1",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","All Skin cancer","582","Non-standardised","589.4","542.5","639.3",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","BCC","450","Non-standardised","455.7","414.6","499.8",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Melanoma","48","Non-standardised","48.6","35.8","64.4",NA
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Rare","0","Non-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","60 to 69","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","84","Non-standardised","85.1","67.8","105.3",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","187","Non-standardised","259.3","223.5","299.3",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","132","Non-standardised","183.1","153.2","217.1",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","5","Non-standardised","6.9","2.3","16.2",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectum","50","Non-standardised","69.3","51.5","91.4",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Breast","All Breast","157","Non-standardised","217.7","185","254.6",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","All Lung","226","Non-standardised","313.4","273.9","357.1",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Non-small cell lung cancer","208","Non-standardised","288.5","250.6","330.4",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Small cell lung cancer","18","Non-standardised","25","14.8","39.5",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","All Skin cancer","1114","Non-standardised","1544.9","1455.5","1638.3",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","BCC","767","Non-standardised","1063.7","989.7","1141.7",NA
